danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.862,0.918,10,-7.325,0,0.108,0.0287,1.15e-06,0.0492,0.651,124.811,audio_features,0UAEHlFR79k9CJvknSGUNf,spotify:track:0UAEHlFR79k9CJvknSGUNf,https://api.spotify.com/v1/tracks/0UAEHlFR79k9CJvknSGUNf,https://api.spotify.com/v1/audio-analysis/0UAEHlFR79k9CJvknSGUNf,215040,4
0.81,0.825,7,-5.712,0,0.0671,0.0195,0.158,0.0639,0.616,111.957,audio_features,2c3I3ew3iJ4xgiMQ7fA8Qf,spotify:track:2c3I3ew3iJ4xgiMQ7fA8Qf,https://api.spotify.com/v1/tracks/2c3I3ew3iJ4xgiMQ7fA8Qf,https://api.spotify.com/v1/audio-analysis/2c3I3ew3iJ4xgiMQ7fA8Qf,225306,4
0.79,0.56,9,-5.774,1,0.236,0.000356,1.06e-06,0.107,0.712,127.46,audio_features,4yjlWacI4vXSwtE7Kq7rUH,spotify:track:4yjlWacI4vXSwtE7Kq7rUH,https://api.spotify.com/v1/tracks/4yjlWacI4vXSwtE7Kq7rUH,https://api.spotify.com/v1/audio-analysis/4yjlWacI4vXSwtE7Kq7rUH,166587,4
0.656,0.993,1,-4.157,1,0.106,0.000388,0.0703,0.138,0.797,159.979,audio_features,2z4GyQGprdaR11RTHjwH1o,spotify:track:2z4GyQGprdaR11RTHjwH1o,https://api.spotify.com/v1/tracks/2z4GyQGprdaR11RTHjwH1o,https://api.spotify.com/v1/audio-analysis/2z4GyQGprdaR11RTHjwH1o,120000,4
0.412,0.249,11,-10.005,1,0.0487,0.963,6.76e-05,0.0987,0.425,181.034,audio_features,6EQBqFdAycZJyCTTaP1Btw,spotify:track:6EQBqFdAycZJyCTTaP1Btw,https://api.spotify.com/v1/tracks/6EQBqFdAycZJyCTTaP1Btw,https://api.spotify.com/v1/audio-analysis/6EQBqFdAycZJyCTTaP1Btw,188024,4
0.67,0.891,1,-4.181,1,0.17,0.000907,0.0,0.131,0.176,100.021,audio_features,4LNme4aVyJWQhYPYPnMxpf,spotify:track:4LNme4aVyJWQhYPYPnMxpf,https://api.spotify.com/v1/tracks/4LNme4aVyJWQhYPYPnMxpf,https://api.spotify.com/v1/audio-analysis/4LNme4aVyJWQhYPYPnMxpf,124114,4
0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,audio_features,31nfdEooLEq7dn3UMcIeB5,spotify:track:31nfdEooLEq7dn3UMcIeB5,https://api.spotify.com/v1/tracks/31nfdEooLEq7dn3UMcIeB5,https://api.spotify.com/v1/audio-analysis/31nfdEooLEq7dn3UMcIeB5,178156,4
0.681,0.504,7,-13.385,1,0.0344,0.935,0.899,0.0993,0.106,100.002,audio_features,1KsvkuGd3HnFq6yU52hdXl,spotify:track:1KsvkuGd3HnFq6yU52hdXl,https://api.spotify.com/v1/tracks/1KsvkuGd3HnFq6yU52hdXl,https://api.spotify.com/v1/audio-analysis/1KsvkuGd3HnFq6yU52hdXl,177600,4
0.733,0.931,11,-4.968,1,0.0478,0.292,0.00047,0.273,0.937,97.959,audio_features,4dsxlK3ju4g1g15Z7PM6XX,spotify:track:4dsxlK3ju4g1g15Z7PM6XX,https://api.spotify.com/v1/tracks/4dsxlK3ju4g1g15Z7PM6XX,https://api.spotify.com/v1/audio-analysis/4dsxlK3ju4g1g15Z7PM6XX,194960,4
0.738,0.637,0,-15.832,0,0.0586,0.871,0.91,0.102,0.494,131.641,audio_features,0fzGaFnmlYakcSq3FoF5rc,spotify:track:0fzGaFnmlYakcSq3FoF5rc,https://api.spotify.com/v1/tracks/0fzGaFnmlYakcSq3FoF5rc,https://api.spotify.com/v1/audio-analysis/0fzGaFnmlYakcSq3FoF5rc,156787,4
0.514,0.99,10,-1.513,0,0.089,0.00107,0.167,0.528,0.233,173.994,audio_features,1Pz0cWra46RQXwShCFIP0x,spotify:track:1Pz0cWra46RQXwShCFIP0x,https://api.spotify.com/v1/tracks/1Pz0cWra46RQXwShCFIP0x,https://api.spotify.com/v1/audio-analysis/1Pz0cWra46RQXwShCFIP0x,263793,4
0.539,0.91,9,-14.131,0,0.046,0.0601,0.761,0.612,0.19,130.011,audio_features,3CpTPBDnJckCkLM2gJusZf,spotify:track:3CpTPBDnJckCkLM2gJusZf,https://api.spotify.com/v1/tracks/3CpTPBDnJckCkLM2gJusZf,https://api.spotify.com/v1/audio-analysis/3CpTPBDnJckCkLM2gJusZf,203493,4
0.631,0.902,0,-6.528,1,0.0301,0.0694,0.871,0.0824,0.237,131.059,audio_features,1hehRTNt6K0DXO8ZTx2JLr,spotify:track:1hehRTNt6K0DXO8ZTx2JLr,https://api.spotify.com/v1/tracks/1hehRTNt6K0DXO8ZTx2JLr,https://api.spotify.com/v1/audio-analysis/1hehRTNt6K0DXO8ZTx2JLr,103282,4
0.658,0.989,10,-4.278,0,0.106,0.00871,0.238,0.29,0.573,160.012,audio_features,4BAd7qy0ykrgyS3qJyCJ8U,spotify:track:4BAd7qy0ykrgyS3qJyCJ8U,https://api.spotify.com/v1/tracks/4BAd7qy0ykrgyS3qJyCJ8U,https://api.spotify.com/v1/audio-analysis/4BAd7qy0ykrgyS3qJyCJ8U,120000,3
0.481,0.342,7,-8.099,1,0.0393,0.797,0.0,0.106,0.515,136.436,audio_features,1gcckyCoTuQfuii0N8XxC5,spotify:track:1gcckyCoTuQfuii0N8XxC5,https://api.spotify.com/v1/tracks/1gcckyCoTuQfuii0N8XxC5,https://api.spotify.com/v1/audio-analysis/1gcckyCoTuQfuii0N8XxC5,242613,4
0.713,0.832,4,-14.376,1,0.0407,0.181,0.39,0.1,0.942,127.943,audio_features,3bbq34C8qOaXc8hMqehnnH,spotify:track:3bbq34C8qOaXc8hMqehnnH,https://api.spotify.com/v1/tracks/3bbq34C8qOaXc8hMqehnnH,https://api.spotify.com/v1/audio-analysis/3bbq34C8qOaXc8hMqehnnH,187534,4
0.778,0.773,11,-12.786,0,0.0638,0.000532,0.933,0.0754,0.846,141.096,audio_features,2sDZqXhQYPZQJ7jIBn4gwm,spotify:track:2sDZqXhQYPZQJ7jIBn4gwm,https://api.spotify.com/v1/tracks/2sDZqXhQYPZQJ7jIBn4gwm,https://api.spotify.com/v1/audio-analysis/2sDZqXhQYPZQJ7jIBn4gwm,137308,4
0.837,0.73,0,-8.726,1,0.0589,0.209,0.193,0.0632,0.876,109.992,audio_features,7sUzjDK0ULcLBcd1YEAdIu,spotify:track:7sUzjDK0ULcLBcd1YEAdIu,https://api.spotify.com/v1/tracks/7sUzjDK0ULcLBcd1YEAdIu,https://api.spotify.com/v1/audio-analysis/7sUzjDK0ULcLBcd1YEAdIu,133403,4
0.593,0.899,6,-5.292,0,0.0402,0.000698,0.316,0.206,0.0396,140.015,audio_features,2IlzPKnf6yWKdcEesQgM7n,spotify:track:2IlzPKnf6yWKdcEesQgM7n,https://api.spotify.com/v1/tracks/2IlzPKnf6yWKdcEesQgM7n,https://api.spotify.com/v1/audio-analysis/2IlzPKnf6yWKdcEesQgM7n,140571,4
